id,name,age,gender,occupation,friends
1,John,25,Male,Software Engineer,"2,3,4,5"
2,Sarah,27,Female,Marketing,"1,4,6"
3,Chris,22,Male,Student,"1,4,5"
4,Lisa,30,Female,Journalist,"1,2,3,5,6"
5,Michael,28,Male,Doctor,"1,3,4,6"
6,Emily,26,Female,Designer,"2,4,5"
7,James,31,Male,Consultant,"8,9,10"
8,Maggie,29,Female,Architect,"7,9,10"
9,Daniel,24,Male,Entrepreneur,"7,8,10"
10,Nicole,33,Female,Project Manager,"7,8,9"
11,David,37,Male,Marketing Director,"12,13,14,15"
12,Samantha,35,Female,HR Manager,"11,13,14,16"
13,Robert,29,Male,Product Manager,"11,12,15,16"
14,Emily,26,Female,Marketing,"11,12,15,17"
15,Thomas,32,Male,Operations Manager,"11,13,14,18"
16,Julia,28,Female,Software Engineer,"12,13,17,19"
17,Oliver,27,Male,UI/UX Designer,"14,16,19,20"
18,Grace,30,Female,Marketing,"15,19,20"
19,William,26,Male,Data Scientist,"16,17,18,20"
20,Hannah,28,Female,Project Coordinator,"17,18,19"
21,Max,24,Male,Software Engineer,"22,23,24"
22,Lucy,25,Female,Marketing,"21,23,24"
23,Amelia,28,Female,Journalist,"21,22,24"
24,Henry,26,Male,Doctor,"21,22,23"
